Régions viticoles;Subdivisions;Appellations;Type de vins produit;Type de vins produit;Type de vins produit;Type de vins produit;Teneur en sucre
vallée du Rhône;Gard;clairette de Bellegarde;;Blanc;;;
vallée du Rhône;Gard;costières-de-nîmes;Rouge;Blanc;Rosé;;
vallée du Rhône;Gard;tavel;;;Rosé;;
vallée du Rhône;Luberon;luberon;Rouge;Blanc;Rosé;;
vallée du Rhône;Rhône méridional;beaumes-de-venise;Rouge;;;;
vallée du Rhône;Rhône méridional;châteauneuf-du-pape;Rouge;Blanc;;;
vallée du Rhône;Rhône méridional;Côtes-du-rhône villages;Rouge;Blanc;Rosé;;
vallée du Rhône;Rhône méridional;gigondas;Rouge;;Rosé;;
vallée du Rhône;Rhône méridional;lirac;Rouge;Blanc;Rosé;;
vallée du Rhône;Rhône méridional;muscat de Beaumes-de-Venise;Rouge;Blanc;;;Doux naturel
vallée du Rhône;Rhône méridional;rasteau;Rouge;;;;Doux naturel
vallée du Rhône;Rhône méridional;vacqueyras;Rouge;Blanc;Rosé;;
vallée du Rhône;Rhône méridional;vinsobres;Rouge;;;;
vallée du Rhône;Rhône méridonal;grignan-les-adhémar;Rouge;Blanc;Rosé;;
vallée du Rhône;Rhône septentrional;château-grillet;;Blanc;;;
vallée du Rhône;Rhône septentrional;condrieu;;Blanc;;;
vallée du Rhône;Rhône septentrional;cornas;Rouge;;;;
vallée du Rhône;Rhône septentrional;côte-rôtie;Rouge;;;;
vallée du Rhône;Rhône septentrional;crozes-hermitage ou crozes-ermitage;Rouge;Blanc;;;
vallée du Rhône;Rhône septentrional;hermitage ou ermitage;Rouge;Blanc;;De paille;
vallée du Rhône;Rhône septentrional;saint-joseph;Rouge;Blanc;;;
vallée du Rhône;Rhône septentrional, Rhône méridional;côtes-du-rhône;Rouge;Blanc;Rosé;;
vallée du Rhône;;côtes-du-vivarais;Rouge;Blanc;Rosé;;
Vallée du Rhône;;duché-d'Uzès;Rouge;Blanc;Rosé;;
vallée du Rhône;;saint-péray;;Blanc;;;
vallée du Rhône;;ventoux;Rouge;Blanc;Rosé;;
